name;constellation;bayer;ra;dec;mag;bv
Mirach;And;β And;01:09:43.90;35:37:14.01;2.07;1.58
;Psc;ψ3 Psc;01:09:49.20;19:39:30.27;5.57;0.70
Emiw;Tuc;;01:10:47.13;-66:11:17.39;8.06;0.85
;Cas;θ Cas;01:11:06.06;55:08:59.64;4.34;0.17
;Psc;χ Psc;01:11:27.22;21:02:04.74;4.66;1.02
;Psc;τ Psc;01:11:39.63;30:05:22.70;4.51;1.09
Revati;Psc;ζ Psc;01:13:43.89;07:34:31.27;5.21;0.32
;Psc;φ Psc;01:13:44.95;24:35:01.37;4.67;1.05
;Psc;ζ Psc;01:13:45.26;07:34:41.74;6.44;0.49
;Phe;ν Phe;01:15:10.95;-45:31:53.99;4.97;0.57
;Tuc;κ Tuc;01:15:45.73;-68:52:33.34;4.25;0.48
;Psc;υ Psc;01:19:27.99;27:15:50.61;4.74;0.03
;Cas;φ Cas;01:20:04.92;58:13:53.80;4.95;0.68
Adhil;And;ξ And;01:22:20.41;45:31:43.60;4.87;1.08
;Cet;θ Cet;01:24:01.40;-8:10:59.73;3.60;1.07
Bélénos;Psc;;01:25:12.50;28:34:00.09;7.12;0.58
Ruchbah;Cas;δ Cas;01:25:48.78;60:14:07.02;2.66;0.16
;Cas;ψ Cas;01:25:55.95;68:07:48.04;4.72;1.05
;Psc;ρ Psc;01:26:15.26;19:10:20.45;5.35;0.40
;And;ω And;01:27:39.29;45:24:24.07;4.83;0.42
;Phe;γ Phe;01:28:21.93;-43:19:05.64;3.41;1.54
;Psc;μ Psc;01:30:11.11;06:08:37.75;4.84;1.37
;Phe;δ Phe;01:31:15.06;-49:04:21.73;3.93;0.97
Alpherg;Psc;η Psc;01:31:29.01;15:20:44.96;3.62;0.97
;Cas;χ Cas;01:33:55.90;59:13:55.34;4.68;0.99
;Scl;τ Scl;01:36:08.50;-29:54:26.34;5.69;0.34
Titawin;And;υ And;01:36:47.88;41:24:19.65;4.10;0.54
;Psc;π Psc;01:37:05.92;12:08:29.53;5.54;0.35
Achernar;Eri;α Eri;01:37:42.80;-57:14:12.33;0.45;-0.16
Nembus;And;;01:37:59.54;48:37:41.57;3.59;1.27
;And;χ And;01:39:21.01;44:23:10.19;5.01;0.88
p Eridani;Eri;;01:39:46.81;-56:11:40.63;5.80;0.86
p Eridani;Eri;;01:39:47.41;-56:11:47.04;5.76;0.88
;And;τ And;01:40:34.81;40:34:37.38;4.96;-0.07
;Hyi;τ1 Hyi;01:41:21.32;-79:08:53.52;6.33;0.95
;Psc;ν Psc;01:41:25.89;05:29:15.41;4.45;1.35
;Scl;π Scl;01:42:08.60;-32:19:37.09;5.25;1.04
;Per;φ Per;01:43:39.63;50:41:19.44;4.01;-0.10
;Cet;τ Cet;01:44:04.12;-15:56:14.93;3.49;0.73
Torcular;Psc;ο Psc;01:45:23.63;09:09:27.85;4.26;0.94
;Scl;ε Scl;01:45:38.75;-25:03:09.40;5.29;0.40
;Hyi;τ2 Hyi;01:47:46.65;-80:10:34.72;6.05;0.34
;Cet;χ Cet;01:49:35.10;-10:41:11.08;4.66;0.33
Baten Kaitos;Cet;ζ Cet;01:51:27.63;-10:20:06.14;3.74;1.14
;Hyi;η1 Hyi;01:52:34.75;-67:56:40.21;6.77;-0.05
Mothallah;Tri;α Tri;01:53:04.91;29:34:43.78;3.42;0.49
Mesarthim;Ari;γ2 Ari;01:53:31.81;19:17:37.87;3.88;-0.05
;Psc;ξ Psc;01:53:33.35;03:11:15.13;4.61;0.93
;Phe;ψ Phe;01:53:38.77;-46:18:09.61;4.39;1.60
;Phe;φ Phe;01:54:22.04;-42:29:49.02;5.12;-0.06
Segin;Cas;ε Cas;01:54:23.70;63:40:12.36;3.35;-0.15
Sheratan;Ari;β Ari;01:54:38.40;20:48:28.93;2.64;0.17
;Hyi;η2 Hyi;01:54:56.06;-67:38:50.29;4.68;0.93
;Hyi;σ Hyi;01:55:50.31;-78:20:54.77;6.15;0.45
;Eri;χ Eri;01:55:57.23;-51:36:32.03;3.69;0.84
;Cas;ω Cas;01:56:00.01;68:41:06.87;4.97;-0.08
;Ari;ι Ari;01:57:21.05;17:49:03.12;5.09;0.92
;Ari;λ Ari;01:57:55.72;23:35:45.82;4.79;0.29
;Hyi;α Hyi;01:58:46.02;-61:34:11.49;2.86;0.29
;Cet;υ Cet;02:00:00.30;-21:04:40.19;3.99;1.55
;For;π For;02:01:14.73;-30:00:06.59;5.34;0.88
;Phe;χ Phe;02:01:42.38;-44:42:48.63;5.15;1.47
Alrescha;Psc;α Psc;02:02:02.82;02:45:49.53;3.82;0.02
;Tri;ε Tri;02:02:57.96;33:17:02.89;5.50;0.03
Almach;And;γ1 And;02:03:53.94;42:19:47.01;2.10;1.37
;For;ν For;02:04:29.44;-29:17:48.55;4.68;-0.16
;Ari;κ Ari;02:06:33.92;22:38:53.94;5.03;0.12
Hamal;Ari;α Ari;02:07:10.40;23:27:44.72;2.01;1.15
;Tri;β Tri;02:09:32.61;34:59:14.27;3.00;0.14
;Ari;η Ari;02:12:48.08;21:12:39.57;5.23;0.46
;For;μ For;02:12:54.47;-30:43:25.77;5.27;-0.01
;Cet;ξ1 Cet;02:12:59.99;08:50:48.18;4.36;0.88
;Hyi;π1 Hyi;02:14:14.52;-67:50:29.19;5.57;1.56
;Hyi;π2 Hyi;02:15:28.58;-67:44:46.92;5.67;1.31
;Eri;φ Eri;02:16:30.55;-51:30:43.79;3.56;-0.12
;Tri;δ Tri;02:17:03.09;34:13:27.23;4.84;0.61
;Tri;γ Tri;02:17:18.86;33:50:49.90;4.03;0.02
;Ari;θ Ari;02:18:07.54;19:54:04.19;5.58;0.01
Mira;Cet;ο Cet;02:19:20.79;-2:58:39.51;6.47;0.97
;Hyi;δ Hyi;02:21:44.99;-68:39:33.90;4.08;0.03
;For;κ For;02:22:32.53;-23:48:58.77;5.19;0.61
;Hyi;κ Hyi;02:22:52.43;-73:38:44.85;5.99;1.09
;Ari;ξ Ari;02:24:49.06;10:36:38.03;5.48;-0.10
;Hor;λ Hor;02:24:53.95;-60:18:43.01;5.36;0.40
;Cet;ρ Cet;02:25:57.00;-12:17:25.73;4.88;-0.03
;Eri;κ Eri;02:26:59.12;-47:42:13.82;4.24;-0.14
;For;φ For;02:28:01.70;-33:48:39.74;5.13;0.09
;Cet;ξ2 Cet;02:28:09.54;08:27:36.19;4.30;-0.05
;Cas;ι Cas;02:29:03.97;67:24:08.91;4.46;0.15
;Hyi;μ Hyi;02:31:40.20;-79:06:33.78;5.27;0.98
Polaris;UMi;α UMi;02:31:47.10;89:15:50.79;1.97;0.64
;Cet;σ Cet;02:32:05.23;-15:14:40.84;4.74;0.45
;For;λ1 For;02:33:07.03;-34:38:59.88;5.91;1.06
;For;ω For;02:33:50.71;-28:13:56.43;4.96;-0.05
;Cet;ν Cet;02:35:52.47;05:35:35.69;4.87;0.88
268 G. Cet;Cet;;02:36:04.89;06:53:12.73;5.79;0.92
;For;ι1 For;02:36:09.27;-30:02:41.92;5.74;1.02
;For;λ2 For;02:36:58.61;-34:34:40.72;5.78;0.65
Buna;And;;02:37:01.92;42:03:45.48;7.28;0.66
;Hor;η Hor;02:37:24.33;-52:32:35.11;5.30;0.29
;For;ι2 For;02:38:18.65;-30:11:38.62;5.84;0.48
;Ari;ν Ari;02:38:48.99;21:57:41.07;5.45;0.17
;Cet;δ Cet;02:39:28.96;00:19:42.64;4.08;-0.21
;Cet;ε Cet;02:39:33.83;-11:52:19.76;4.83;0.45
;Hyi;ε Hyi;02:39:35.28;-68:16:01.01;4.12;-0.06
;Hor;ζ Hor;02:40:39.60;-54:32:59.68;5.21;0.41
;Eri;ι Eri;02:40:40.01;-39:51:19.35;4.11;1.01
;Ari;μ Ari;02:42:21.94;20:00:41.27;5.74;-0.02
;Hor;ι Hor;02:42:33.35;-50:48:01.06;5.40;0.56
Kaffaljidhma;Cet;γ Cet;02:43:18.04;03:14:08.94;3.47;0.09
;Cet;π Cet;02:44:07.35;-13:51:31.31;4.24;-0.12
;Per;θ Per;02:44:11.88;49:13:42.41;4.10;0.51
;Ari;ο Ari;02:44:32.97;15:18:42.70;5.78;-0.02
;Cet;μ Cet;02:44:56.54;10:06:50.93;4.27;0.31
;Eri;τ1 Eri;02:45:06.17;-18:34:21.23;4.47;0.48
;Hor;γ Hor;02:45:27.46;-63:42:16.39;5.73;0.93
;Hyi;ζ Hyi;02:45:32.57;-67:36:59.82;4.83;0.06
Koeia;Eri;;02:46:42.87;-23:05:11.80;10.25;1.39
;For;η1 For;02:47:33.76;-35:33:02.24;6.51;0.96
Lilii Borea;Ari;;02:47:54.53;29:14:49.62;4.52;1.11
;Hor;ν Hor;02:49:01.42;-62:48:23.48;5.25;0.10
;For;β For;02:49:05.41;-32:24:21.23;4.45;0.98
;Ari;π Ari;02:49:17.56;17:27:51.51;5.26;-0.07
Nushagak;Cas;;02:49:44.37;71:45:11.64;8.17;0.64
