type;constellation;names;nicknames;ra;dec;mag_v;mag_b;major_axis;minor_axis;angle
g;cet;IC0002;;00:11:00.88;-12:49:22.30;;15.46;0.98;0.32;142
g;psc;IC0003;;00:12:06.09;00:24:54.80;;14.78;0.93;0.67;53
g;peg;IC0004;;00:13:26.94;17:29:11.20;;14.14;1.17;0.84;12
g;cet;IC0005;;00:17:34.93;-9:32:36.10;;14.57;0.99;0.66;9
g;psc;IC0006;;00:18:55.04;-3:16:33.90;;14.57;1.23;1.08;146
g;psc;IC0007;;00:18:53.16;10:35:40.90;;14.63;0.90;0.63;174
g;psc;IC0008;;00:19:02.72;-3:13:19.50;;15.16;0.82;0.34;129
g;cet;IC0009;;00:19:43.98;-14:07:18.80;;15.41;0.59;0.46;122
g;cas;IC0010;;00:20:17.34;59:18:13.60;10.35;11.78;6.76;6.03;129
g;psc;IC0012;;00:20:15.05;-2:39:11.20;;15.08;0.96;0.32;20
g;psc;IC0013;;00:20:20.09;07:42:01.80;;14.93;1.29;0.53;162
g;cet;IC0015;;00:27:57.59;00:03:40.60;;15.90;0.44;0.38;91
g;cet;IC0016;;00:28:07.65;-13:05:38.10;;15.15;0.58;0.32;62
g;cet;IC0017;;00:28:29.78;02:38:55.00;;14.77;0.67;0.54;102
g;cet;IC0018;;00:28:34.96;-11:35:12.10;;15.03;1.08;0.41;29
g;cet;IC0019;;00:28:39.48;-11:38:26.80;;15.15;0.79;0.67;30
g;cet;IC0020;;00:28:39.68;-13:00:37.10;;14.88;0.91;0.77;18
g;cet;IC0021;;00:29:10.43;00:09:49.60;;15.54;0.49;0.45;6
g;cet;IC0022;;00:29:33.17;-9:04:50.70;;14.73;0.81;0.44;45
g;cet;IC0023;;00:30:50.80;-12:43:12.90;;15.05;0.85;0.77;20
g;cet;IC0025;;00:31:12.09;00:24:26.50;;15.29;0.86;0.44;34
g;cet;IC0027;;00:33:06.24;-13:22:17.40;;15.82;0.58;0.34;148
g;cet;IC0028;;00:33:08.72;-13:27:22.60;;15.56;0.30;0.22;85
g;cet;IC0029;;00:34:10.80;-2:10:39.50;;15.79;0.66;0.49;160
g;cet;IC0030;;00:34:14.72;-2:05:04.50;;15.17;0.69;0.39;23
g;psc;IC0031;;00:34:24.63;12:16:05.40;;15.62;1.16;0.23;90
g;cet;IC0032;;00:35:01.69;-2:08:30.10;;16.15;0.62;0.39;1
g;cet;IC0033;;00:35:05.16;-2:08:15.70;;15.29;0.78;0.58;123
g;psc;IC0034;;00:35:36.42;09:07:27.30;;13.77;2.81;1.05;156
g;psc;IC0035;;00:37:39.88;10:21:28.70;;14.96;0.90;0.74;18
g;cet;IC0036;;00:37:49.65;-15:26:28.60;;15.54;0.31;0.30;60
g;cet;IC0037;;00:38:34.18;-15:21:31.30;;16.23;0.67;0.38;158
g;cet;IC0038;;00:38:38.76;-15:25:11.40;;15.02;0.77;0.57;65
g;cet;IC0040;;00:39:21.40;02:27:22.40;;15.04;1.05;0.43;14
g;cet;IC0041;;00:39:40.37;-14:10:27.60;;15.20;0.71;0.45;162
g;cet;IC0042;;00:41:05.84;-15:25:41.10;;15.38;0.76;0.53;56
g;and;IC0043;;00:42:22.06;29:38:29.90;13.25;13.95;1.26;1.15;87
g;and;IC0046;;00:42:57.97;27:15:12.50;;14.28;0.80;0.61;82
g;cet;IC0047;;00:42:55.01;-13:44:26.60;;16.09;0.41;0.24;100
g;cet;IC0048|IC1577;;00:43:34.47;-8:11:11.40;13.16;14.01;1.12;0.92;172
g;cet;IC0049;;00:43:56.13;01:51:01.00;13.78;14.28;1.28;1.04;77
g;cet;IC0050;;00:46:05.71;-9:30:10.80;;14.74;1.02;0.87;169
g;cet;IC0051;;00:46:24.22;-13:26:32.50;;13.75;1.70;1.11;55
g;psc;IC0052;;00:48:23.78;04:05:30.70;;15.31;0.95;0.41;96
g;psc;IC0053;;00:50:40.77;10:36:01.00;;15.33;0.87;0.62;94
g;psc;IC0055;;00:51:42.39;07:43:06.70;;15.01;0.55;0.28;175
g;cet;IC0056;;00:51:29.94;-12:50:39.50;;15.14;0.82;0.74;116
g;psc;IC0057;;00:54:48.50;11:50:28.30;;15.48;1.03;0.96;10
g;cet;IC0058;;00:55:02.44;-13:40:41.10;;15.51;0.84;0.50;105
rfn;cas;IC0059;;00:57:28.61;61:08:37.20;;;10.00;5.00;
g;cet;IC0060;;00:56:04.23;-13:21:28.50;;15.75;1.04;0.76;48
g;psc;IC0061;;00:57:07.20;07:30:25.50;;15.23;1.34;1.29;175
g;psc;IC0062;;00:58:43.94;11:48:28.80;;14.97;0.76;0.46;25
hii;cas;IC0063;;00:59:28.84;60:54:42.10;;13.33;10.00;3.00;
g;psc;IC0064;;00:59:24.42;27:03:32.60;13.96;15.10;1.03;0.65;148
g;and;IC0065;;01:00:55.42;47:40:55.10;;13.60;2.56;0.73;154
g;psc;IC0066;;01:00:32.50;30:47:50.00;14.10;14.93;1.23;0.42;124
g;psc;IC0069;;01:01:23.66;31:02:27.00;;14.65;0.76;0.41;71
g;cet;IC0070;;01:01:03.95;00:03:02.70;;16.77;0.42;0.24;147
g;psc;IC0073;;01:04:52.95;04:46:01.70;;15.38;0.62;0.48;149
g;psc;IC0074;;01:05:55.95;04:05:24.90;;15.59;0.57;0.46;5
g;psc;IC0075;;01:07:11.61;10:50:12.80;;14.98;0.66;0.51;31
g;cet;IC0076;;01:08:11.71;-4:33:16.20;;15.44;0.81;0.36;116
g;cet;IC0077;;01:08:43.75;-15:25:15.30;15.04;16.23;0.52;0.44;90
g;cet;IC0078;;01:08:47.70;-15:50:42.30;;15.24;1.75;0.75;126
g;cet;IC0079;;01:08:49.71;-15:56:54.90;;14.93;1.24;0.91;158
gpair;cet;IC0080;;01:08:50.90;-15:24:27.00;;;1.20;;
g;cet;IC0080 NED01;;01:08:50.70;-15:24:32.20;;14.83;1.50;1.03;83
g;cet;IC0080 NED02;;01:08:51.13;-15:24:22.70;12.90;13.93;1.50;1.06;50
g;cet;IC0081;;01:09:22.26;-1:41:45.10;;14.53;1.17;0.91;145
g;cet;IC0082;;01:09:05.79;-16:00:01.10;;14.85;0.91;0.83;93
g;cet;IC0083;;01:10:29.78;01:41:21.70;;15.16;0.68;0.45;114
g;cet;IC0084;;01:11:25.60;01:38:24.70;;15.21;0.67;0.43;12
g;cet;IC0086;;01:13:28.52;-16:14:30.00;;15.31;0.72;0.34;142
g;cet;IC0087;;01:14:15.79;00:45:55.20;;15.37;0.69;0.63;66
g;cet;IC0088;;01:14:31.30;00:47:30.30;18.07;15.95;0.53;0.44;129
g;cet;IC0090;;01:16:30.35;-7:58:37.70;;14.85;1.25;1.12;146
g;cet;IC0091;;01:18:39.43;02:33:13.20;;16.48;0.71;0.26;64
g;cet;IC0093|IC1671;;01:19:02.34;-17:03:37.40;13.57;14.03;1.21;0.56;171
g;cet;IC0095;;01:19:17.88;-12:34:26.90;;16.20;0.61;0.50;54
g;psc;IC0096;;01:20:33.22;29:37:02.10;;14.65;0.78;0.30;44
g;cet;IC0098;;01:20:54.88;-12:36:17.00;;16.30;0.68;0.61;55
g;cet;IC0099;;01:22:27.36;-12:57:09.20;;15.82;0.58;0.52;54
g;cet;IC0100;;01:22:53.96;-4:38:34.90;;14.48;1.04;0.77;88
g;psc;IC0101;;01:24:08.55;09:55:49.90;;15.03;1.24;0.59;124
g;psc;IC0102;;01:24:26.33;09:53:11.60;;15.57;0.75;0.37;111
g;cet;IC0103;;01:24:36.44;02:02:39.30;;15.36;0.95;0.67;128
g;cet;IC0105;;01:24:46.25;02:04:31.00;;15.59;0.58;0.29;47
g;psc;IC0107|IC1700;;01:25:24.66;14:51:52.60;;14.25;1.62;1.31;6
g;cet;IC0108;;01:24:38.96;-12:38:08.10;;15.48;1.30;0.36;4
g;cet;IC0109;;01:25:13.09;02:03:58.40;;14.87;0.76;0.57;70
g;psc;IC0112;;01:26:03.02;11:26:34.70;;14.17;0.72;0.37;127
g;psc;IC0113;;01:26:25.50;19:11:31.10;;;0.35;0.26;160
g;psc;IC0114;;01:26:22.58;09:54:35.80;;15.62;1.40;0.56;154
g;psc;IC0115;;01:26:54.44;19:12:52.90;14.03;15.18;0.76;0.76;80
g;cet;IC0116;;01:26:50.57;-4:58:56.20;;14.62;0.87;0.56;125
g;cet;IC0118;;01:27:36.04;-4:59:50.90;;15.81;0.72;0.55;31
g;cet;IC0119;;01:27:55.02;-2:02:25.70;;15.18;1.19;0.58;77
g;cet;IC0120;;01:28:12.96;-1:54:55.90;;15.12;0.92;0.33;138
g;cet;IC0121;;01:28:21.78;02:30:46.90;;14.25;1.00;0.62;108
g;cet;IC0122;;01:28:13.20;-14:50:20.00;;15.96;0.65;0.32;14
g;cet;IC0123;;01:28:51.46;02:26:47.20;15.16;15.25;0.67;0.47;44
g;cet;IC0125;;01:29:18.35;-13:16:47.40;;16.18;0.61;0.59;53
g;cet;IC0126;;01:29:47.86;-1:59:01.50;;15.66;0.89;0.81;30
g;cet;IC0127;;01:29:47.61;-6:58:48.20;9.20;14.83;1.69;0.45;110
g;cet;IC0128;;01:31:23.87;-12:37:27.80;;15.35;0.82;0.61;165
g;cet;IC0129;;01:31:31.26;-12:39:15.80;;15.28;1.23;0.60;63
g;cet;IC0130;;01:31:28.74;-15:35:29.80;;15.49;0.75;0.64;27
hii;tri;IC0131;;01:33:14.58;30:45:11.70;;12.52;0.30;;
hii;tri;IC0132;;01:33:15.92;30:56:44.20;14.82;14.87;0.67;0.55;
hii;tri;IC0133;;01:33:15.18;30:53:18.20;18.45;18.28;0.45;0.45;
hii;tri;IC0135;;01:34:15.53;30:37:12.30;;;0.40;;
*ass;tri;IC0136;;01:34:16.04;30:33:43.40;;11.04;;;
*ass;tri;IC0137;;01:33:38.91;30:31:21.00;;;;;
g;cet;IC0138;;01:33:01.98;00:41:23.40;;14.72;1.12;0.74;23
*ass;tri;IC0139;;01:33:59.24;30:34:02.80;;13.10;;;
*ass;tri;IC0140;;01:33:58.17;30:33:00.50;;;;;
g;cet;IC0141;;01:32:51.71;-14:48:52.60;;14.33;1.23;0.91;5
hii;tri;IC0142;;01:33:55.53;30:45:28.10;14.20;11.30;0.50;;
hii;tri;IC0143;;01:34:10.93;30:46:35.10;;11.40;0.30;;
g;cet;IC0144;;01:37:40.85;-13:18:52.80;;15.74;0.74;0.67;46
g;cet;IC0145;;01:38:38.48;00:44:29.40;;15.40;0.69;0.50;6
g;cet;IC0147;;01:39:59.75;-14:51:45.50;;15.23;0.76;0.42;58
g;psc;IC0148;;01:42:26.97;13:58:37.30;;13.84;1.82;0.57;45
g;cet;IC0149;;01:42:25.38;-16:18:01.50;;14.40;1.27;0.41;82
g;psc;IC0150;;01:42:57.52;04:12:00.60;;14.86;0.88;0.50;137
g;psc;IC0154;;01:45:16.27;10:38:57.10;;14.83;1.19;0.23;66
g;psc;IC0156;;01:45:29.21;10:33:09.80;;14.92;1.51;1.33;105
g;cet;IC0158;;01:45:53.52;-6:56:08.50;;15.88;0.70;0.53;140
g;cet;IC0159;;01:46:25.05;-8:38:11.80;;14.18;1.35;0.75;28
g;cet;IC0160;;01:46:29.56;-13:14:51.80;;14.88;1.28;0.86;85
g;psc;IC0161;;01:48:43.74;10:30:28.40;;14.27;0.90;0.54;67
g;psc;IC0162;;01:48:53.43;10:31:17.80;;14.46;1.32;1.28;85
g;ari;IC0163;;01:49:14.99;20:42:40.70;13.26;13.71;1.62;0.73;90
g;cet;IC0164;;01:49:08.41;-3:54:15.80;;14.04;1.58;1.35;167
cl;cas;IC0166;;01:52:23.82;61:51:09.40;11.70;13.00;7.50;;
g;ari;IC0167;;01:51:08.56;21:54:46.10;13.26;13.61;1.60;0.94;107
g;cet;IC0168;;01:50:27.63;-8:31:22.60;;14.85;1.12;0.39;104
g;cet;IC0169;;01:50:39.36;-12:40:46.60;;15.79;0.74;0.51;76
g;cet;IC0170;;01:51:57.52;-8:31:03.40;;15.34;0.78;0.60;92
g;tri;IC0171;;01:55:10.21;35:16:54.80;;13.69;2.26;1.90;107
g;cet;IC0172;;01:54:54.23;00:48:40.40;;14.74;0.48;0.37;95
g;cet;IC0173;;01:55:57.15;01:17:06.60;14.09;14.97;0.92;0.72;90
g;psc;IC0174;;01:56:16.08;03:45:42.70;;14.52;1.49;0.99;97
g;cet;IC0175;;01:56:18.86;01:19:56.70;;15.70;0.52;0.46;9
g;cet;IC0176;;01:56:53.40;-2:01:08.30;;14.90;1.78;0.38;94
g;cet;IC0177;;01:57:00.58;00:05:23.50;;15.47;0.51;0.47;11
g;and;IC0178;;01:58:54.87;36:40:28.90;13.28;14.06;0.94;0.79;159
g;and;IC0179;;02:00:11.50;38:01:16.80;12.56;13.55;1.12;0.90;111
g;ari;IC0180;;02:00:00.41;23:36:15.60;;15.30;0.83;0.34;150
g;ari;IC0181;;02:00:02.33;23:39:31.10;;15.85;0.57;0.49;55
g;psc;IC0182;;01:59:51.81;07:24:42.60;;14.54;1.06;0.70;36
g;cet;IC0183;;01:59:34.05;-5:20:49.70;;14.89;1.19;0.37;98
g;cet;IC0184;;01:59:51.23;-6:50:25.40;13.89;14.67;1.12;0.59;178
g;cet;IC0185;;02:00:06.04;-1:31:42.00;;15.72;0.79;0.33;82
gtrpl;cet;IC0186;;02:00:24.50;-1:33:06.20;;;1.10;;
g;cet;IC0186A;;02:00:24.00;-1:33:10.30;;14.87;1.21;0.76;33
g;cet;IC0186B;;02:00:25.45;-1:32:59.30;;15.80;0.69;0.47;0
g;cet;IC0186 NED03;;02:00:25.40;-1:33:03.00;;;0.25;0.20;101
g;tri;IC0187;;02:01:30.76;26:28:51.50;;13.79;2.23;0.73;70
g;tri;IC0188;;02:01:46.50;26:32:48.80;;14.40;0.54;0.28;46
g;ari;IC0189;;02:01:52.91;23:33:05.40;;14.85;0.78;0.67;86
g;ari;IC0190;;02:02:07.28;23:32:59.40;;15.03;0.25;0.20;95
g;ari;IC0192;;02:02:32.39;16:00:51.00;;14.75;0.95;0.67;148
g;ari;IC0193;;02:02:30.98;11:05:35.10;;14.62;1.36;0.97;154
g;psc;IC0194;;02:03:05.22;02:36:51.30;;15.18;1.85;0.33;14
g;ari;IC0195;;02:03:44.61;14:42:33.40;13.15;14.11;1.46;0.72;135
g;ari;IC0196;;02:03:49.80;14:44:20.90;;14.11;2.47;0.67;9
g;psc;IC0197;;02:04:04.93;02:47:12.60;;14.25;1.01;0.53;54
g;psc;IC0198;;02:06:03.12;09:17:44.00;;14.81;1.01;0.56;51
g;psc;IC0199|IC1778;;02:06:19.40;09:13:38.70;;15.33;1.28;0.56;24
g;tri;IC0200;;02:05:26.64;31:10:31.20;12.82;13.88;1.38;1.06;92
g;cet;IC0201;;02:07:15.29;09:06:54.20;;16.77;0.54;0.50;60
g;cet;IC0202;;02:07:28.66;09:10:05.90;;15.22;1.35;0.36;131
g;cet;IC0203;;02:07:29.65;09:07:21.50;;16.90;0.60;0.51;10
g;cet;IC0204;;02:07:27.08;-1:25:48.70;;15.82;0.55;0.36;155
g;cet;IC0205;;02:07:27.43;-2:05:28.60;;14.76;0.92;0.82;40
g;cet;IC0206;;02:09:30.68;-6:58:06.20;;14.34;1.22;0.39;130
g;cet;IC0207;;02:09:39.35;-6:55:19.90;;14.53;1.81;0.45;98
g;cet;IC0208;;02:08:27.74;06:23:41.70;;14.73;1.32;1.13;168
g;cet;IC0209;;02:08:58.71;-7:03:32.10;;13.80;1.51;1.03;82
g;cet;IC0210;;02:09:28.28;-9:40:49.20;;13.82;2.35;0.65;66
g;cet;IC0211;;02:11:08.00;03:51:09.00;;14.07;1.66;0.76;56
g;ari;IC0212;;02:13:38.26;16:35:38.20;;15.75;0.79;0.54;84
g;ari;IC0213;;02:14:04.28;16:27:21.20;13.20;14.96;1.43;1.01;148
g;cet;IC0214;;02:14:05.59;05:10:23.70;14.16;14.69;0.58;0.45;65
g;cet;IC0215;;02:14:09.46;-6:48:22.80;;15.62;0.84;0.19;78
g;cet;IC0216;;02:15:55.52;-2:00:54.40;;15.87;0.50;0.32;25
g;cet;IC0217|IC1787;;02:16:10.44;-11:55:36.20;;15.08;2.00;0.45;35
g;cet;IC0218;;02:17:07.25;01:16:56.40;;15.63;0.91;0.30;75
g;cet;IC0219;;02:18:38.83;-6:54:12.00;;14.44;1.56;1.19;177
g;cet;IC0220;;02:19:11.73;-12:46:53.90;;15.08;0.67;0.32;34
g;tri;IC0221;;02:22:40.90;28:15:25.10;;13.81;1.54;1.19;16
g;ari;IC0222;;02:22:47.85;11:38:18.00;;15.14;0.84;0.65;42
g;cet;IC0223;;02:22:01.10;-20:44:45.30;;14.09;1.15;0.59;143
g;cet;IC0224;;02:24:45.14;-12:33:52.10;;15.00;0.86;0.59;130
g;cet;IC0225;;02:26:28.29;01:09:37.90;;14.83;1.01;0.90;158
g;tri;IC0226;;02:27:45.93;28:12:31.80;;16.00;0.81;0.72;55
g;tri;IC0227;;02:28:03.61;28:10:31.20;;15.39;2.01;1.77;80
g;cet;IC0230;;02:28:47.29;-10:49:52.90;;15.54;0.64;0.42;87
g;cet;IC0231;;02:29:56.39;01:10:44.70;;15.14;0.74;0.33;162
g;cet;IC0232;;02:31:11.62;01:15:56.30;;14.30;1.10;0.67;154
g;cet;IC0233;;02:31:40.70;02:48:35.70;;15.53;0.33;0.26;100
g;cet;IC0234;;02:31:37.72;00:08:24.90;;15.22;0.69;0.35;158
g;ari;IC0235;;02:32:50.79;20:38:28.50;14.35;14.89;0.39;0.30;35
g;cet;IC0236;;02:32:55.81;00:07:52.50;;15.97;0.74;0.37;23
g;cet;IC0237;;02:33:31.57;01:08:23.60;;14.71;0.54;0.51;11
g;ari;IC0238;;02:35:22.68;12:50:15.80;;14.02;1.38;0.79;35
g;and;IC0239;;02:36:27.88;38:58:11.70;11.20;11.89;4.25;4.01;75
g;cet;IC0241;;02:37:54.50;02:19:40.90;;14.48;0.90;0.59;152
g;cet;IC0243;;02:38:32.16;-6:54:07.70;;15.46;1.22;0.70;20
g;cet;IC0244;;02:39:24.73;02:43:43.70;;15.26;0.70;0.47;176
g;cet;IC0245;;02:38:54.64;-14:18:20.00;;15.00;1.11;0.29;25
g;cet;IC0246;;02:40:28.60;02:28:43.10;;15.39;0.69;0.61;48
g;cet;IC0247;;02:40:08.78;-11:44:01.60;;14.74;0.88;0.64;45
g;ari;IC0248;;02:41:25.83;17:48:44.00;;14.35;0.99;0.74;147
g;cet;IC0250;;02:40:54.27;-13:18:48.80;;15.05;0.91;0.73;178
g;cet;IC0251;;02:41:13.85;-14:57:28.20;;15.00;0.84;0.74;96
g;cet;IC0252;;02:41:45.13;-14:50:53.70;;15.35;1.01;0.62;26
g;cet;IC0253;;02:42:05.75;-15:02:48.60;;14.87;0.95;0.74;162
g;cet;IC0254;;02:42:04.98;-15:06:23.90;;14.91;0.26;0.25;55
g;ari;IC0255;;02:47:03.21;16:17:16.90;;15.68;0.59;0.40;45
g;per;IC0256;;02:49:40.30;46:57:16.80;;14.31;0.46;0.29;30
g;per;IC0257;;02:49:45.44;46:58:34.30;12.68;13.86;1.93;1.19;154
g;per;IC0258;;02:49:46.10;41:03:06.00;;15.52;1.48;1.23;170
g;per;IC0259;;02:49:40.88;41:03:18.40;;15.38;0.69;0.53;130
g;per;IC0260;;02:51:00.88;46:57:17.20;;15.12;1.53;0.75;170
g;per;IC0262;;02:51:43.27;42:49:41.80;;14.69;2.10;1.74;36
g;cet;IC0263;;02:49:39.96;00:04:11.50;;14.72;0.65;0.44;168
g;cet;IC0264;;02:48:47.62;00:06:33.10;16.88;15.72;0.50;0.37;28
g;per;IC0265;;02:54:43.98;41:39:19.20;;15.49;0.71;0.63;60
g;per;IC0266;;02:55:04.83;42:15:44.40;;15.65;0.74;0.31;136
g;ari;IC0267;;02:53:50.25;12:50:57.20;13.09;13.88;1.86;0.69;170
g;eri;IC0268;;02:55:26.95;-14:06:10.80;;15.31;0.97;0.55;68
g;eri;IC0269;;02:55:26.49;-14:04:00.50;;15.34;1.19;0.35;126
g;eri;IC0270;;02:55:44.19;-14:12:28.40;;14.14;1.80;1.43;51
g;eri;IC0271;;02:55:59.45;-12:00:28.30;;14.70;1.06;0.61;131
g;eri;IC0272;;02:56:06.44;-14:11:11.90;;14.86;0.96;0.67;30
g;cet;IC0273;;02:57:10.78;02:46:30.20;;14.32;1.49;0.46;32
gtrpl;per;IC0275;;03:00:57.30;44:20:54.00;;;1.00;;
g;per;IC0275 NED01;;03:00:55.87;44:20:46.70;;;0.32;0.23;16
g;per;IC0275 NED02;;03:00:55.90;44:21:01.30;;14.44;1.38;1.20;25
g;per;IC0275 NED03;;03:00:58.67;44:21:00.60;;16.56;0.30;0.30;0
g;eri;IC0276;;02:58:41.06;-15:42:11.20;;13.97;1.67;0.61;62
g;cet;IC0277;;02:59:50.60;02:46:16.90;13.12;13.89;1.00;0.89;44
g;per;IC0278;;03:01:30.44;37:45:57.60;;14.69;2.17;2.17;125
g;ari;IC0279;;03:01:12.21;16:12:33.20;;15.19;0.54;0.45;166
g;cet;IC0283;;03:03:50.46;00:12:16.00;17.93;15.08;0.71;0.54;5
g;per;IC0284;;03:06:09.91;42:22:18.90;11.59;12.52;4.29;2.15;14
g;eri;IC0285;;03:04:06.22;-12:00:55.60;;15.02;1.45;0.36;117
g;eri;IC0287;;03:04:57.82;-12:04:13.60;;15.36;0.81;0.59;9
g;per;IC0288;;03:07:32.91;42:23:15.20;;14.95;1.01;0.28;41
pn;cas;IC0289;;03:10:19.26;61:19:00.40;13.20;12.30;0.58;;
g;per;IC0290|IC1884;;03:09:42.74;40:58:27.20;;15.43;1.24;0.32;129
g;eri;IC0291;;03:07:26.45;-12:35:14.80;;14.65;1.19;0.52;91
g;per;IC0292|IC1887;;03:10:12.92;40:45:56.40;13.47;14.18;1.19;0.65;73
g;per;IC0293|IC1888;;03:10:56.16;41:08:13.60;;15.48;1.05;0.76;108
g;per;IC0294|IC1889;;03:11:03.11;40:37:19.60;;15.52;1.49;1.17;106
gpair;cet;IC0298;;03:11:18.90;01:18:53.00;;;0.80;;
g;cet;IC0298A;;03:11:18.50;01:18:54.10;;16.12;0.54;0.34;35
g;cet;IC0298B;;03:11:19.53;01:18:48.20;;15.10;0.43;0.33;5
g;eri;IC0299;;03:11:02.55;-13:06:34.50;;15.79;0.87;0.68;30
g;per;IC0300;;03:14:16.02;42:24:55.20;;16.06;0.65;0.60;115
g;per;IC0301;;03:14:47.71;42:13:21.50;;14.95;1.26;1.11;177
g;cet;IC0302;;03:12:51.27;04:42:25.30;12.89;13.60;1.84;1.20;22
g;eri;IC0303;;03:12:40.87;-11:41:23.80;;16.16;0.59;0.46;47
g;per;IC0304;;03:15:01.37;37:52:54.60;;14.74;1.06;0.65;29
g;per;IC0305;;03:15:03.80;37:51:36.00;;15.57;0.79;0.64;74
g;eri;IC0306;;03:13:00.21;-11:42:56.50;;15.50;0.71;0.58;79
g;cet;IC0307;;03:13:45.21;00:14:29.20;;14.50;1.60;0.60;67
g;per;IC0308;;03:16:15.83;41:10:50.70;14.22;15.39;1.16;0.93;4
g;per;IC0309;;03:16:06.29;40:48:16.40;;14.81;1.02;0.95;30
g;per;IC0310;;03:16:42.98;41:19:29.90;12.71;13.86;1.50;1.42;25
g;per;IC0311;;03:16:46.73;40:00:13.00;;15.65;1.00;1.00;100
g;per;IC0312;;03:18:08.61;41:45:14.80;;14.64;1.19;0.57;125
g;per;IC0313;;03:20:57.90;41:53:37.80;;14.79;1.26;0.87;42
g;cet;IC0315;;03:19:09.34;04:02:18.80;;15.49;0.68;0.33;45
gpair;per;IC0316;;03:21:19.90;41:55:50.00;;;0.80;;
g;per;IC0316 NED01;;03:21:19.95;41:55:44.20;;15.24;0.45;0.17;116
g;per;IC0316 NED02;;03:21:19.90;41:55:54.90;;15.03;1.06;0.79;64
g;eri;IC0317;;03:18:55.51;-12:44:24.70;;14.87;0.88;0.71;58
g;eri;IC0318;;03:20:43.83;-14:34:05.60;;14.72;1.08;0.45;134
g;per;IC0320;;03:25:59.18;40:47:20.50;;15.34;1.12;0.91;99
g;eri;IC0321;;03:24:29.59;-14:59:07.70;;14.79;1.03;0.95;25
g;tau;IC0322;;03:26:00.47;03:40:50.00;;15.35;0.76;0.38;6
g;eri;IC0325;;03:30:48.86;-7:02:48.20;;15.58;0.83;0.74;80
g;eri;IC0326;;03:30:36.61;-14:25:32.00;;15.41;1.13;0.84;101
g;eri;IC0327;;03:31:09.98;-14:41:31.70;;15.21;0.80;0.47;70
g;eri;IC0328;;03:31:10.95;-14:38:16.30;;14.59;0.67;0.48;16
g;tau;IC0329;;03:32:01.37;00:16:46.00;;15.14;1.00;0.48;63
g;tau;IC0330;;03:32:08.03;00:21:12.20;;14.98;1.02;0.32;73
g;tau;IC0331;;03:32:19.08;00:16:57.20;;14.83;0.91;0.91;105
g;tau;IC0332;;03:32:37.42;01:22:57.20;;15.32;0.97;0.50;44
g;cam;IC0334;;03:45:17.08;76:38:17.90;11.50;12.62;2.34;1.85;58
g;for;IC0335|IC1963;;03:35:31.04;-34:26:49.40;;12.99;2.62;0.80;83
neb;tau;IC0336;;03:37:57.04;23:21:47.30;;;;;
g;tau;IC0338;;03:37:38.10;03:07:07.60;;14.94;0.84;0.68;176
g;eri;IC0340;;03:39:29.11;-13:06:54.40;;14.76;1.61;0.58;90
neb;tau;IC0341;;03:40:55.69;21:57:36.70;;;134.90;;
g;cam;IC0342;Star Veiled Galaxy;03:46:48.50;68:05:46.90;;9.68;19.77;18.79;0
g;eri;IC0343;;03:40:07.14;-18:26:36.50;13.20;14.11;1.51;0.66;113
g;eri;IC0344;;03:41:29.53;-4:39:57.10;;14.92;0.89;0.47;42
g;eri;IC0345;;03:41:09.13;-18:18:50.90;;14.71;0.88;0.73;37
g;eri;IC0346;;03:41:44.66;-18:16:01.10;12.64;13.63;1.95;1.47;69
g;eri;IC0347;;03:42:32.65;-4:17:55.10;;13.99;1.37;1.02;138
cl+n;per;IC0348|IC1985;;03:44:34.19;32:09:46.20;;;10.00;10.00;
rfn;tau;IC0349;;03:46:20.11;23:56:23.30;;;25.70;;
g;eri;IC0350;;03:44:36.65;-11:48:02.70;;14.95;1.09;0.79;165
pn;per;IC0351;;03:47:33.01;35:02:48.90;11.90;12.40;0.12;;
g;eri;IC0352;;03:47:37.43;-8:43:54.60;;15.65;0.70;0.48;119
neb;tau;IC0353;;03:53:01.07;25:50:52.80;;;181.97;30.20;
neb;tau;IC0354;;03:53:57.91;23:08:49.20;;;128.82;;
g;tau;IC0355;;03:53:46.26;19:58:26.10;15.40;15.37;0.67;0.56;161
g;cam;IC0356;;04:07:46.91;69:48:44.80;10.24;11.56;4.02;3.73;90
g;tau;IC0357;;04:03:44.00;22:09:32.80;;14.60;0.94;0.61;147
g;tau;IC0358;;04:03:42.88;19:53:41.80;;15.21;1.18;0.28;63
g;tau;IC0359;;04:12:28.36;27:42:07.10;;15.39;1.30;1.30;105
rfn;tau;IC0359A;;04:18:41.00;28:17:24.00;;;15.00;10.00;
neb;tau;IC0360;;04:09:02.57;26:07:52.30;;;180.00;100.00;
cl;cam;IC0361;;04:18:50.70;58:14:58.20;11.70;12.92;7.20;;
g;eri;IC0362;;04:16:42.43;-12:12:00.40;;14.18;1.77;1.03;5
g;tau;IC0363;;04:18:55.42;03:01:58.90;;15.20;0.33;0.31;25
g;tau;IC0364;;04:19:06.70;03:11:20.20;;15.27;0.78;0.49;72
g;tau;IC0365;;04:19:14.14;03:20:54.00;;14.84;0.88;0.56;34
g;tau;IC0366;;04:19:41.54;02:21:35.30;;15.66;0.34;0.20;20
g;eri;IC0367;;04:20:40.99;-14:46:51.80;;14.47;1.74;0.61;140
g;eri;IC0368;;04:22:42.72;-12:36:54.60;;15.08;0.99;0.83;164
